id,quantity,price,name,datetime
282,1,2.6,Plain Naan,2019-08-01 12:33:00
283,1,5.95,Bombay Aloo,2019-08-01 12:33:00
284,1,9.95,Lamb Biryani,2019-07-31 21:10:00
285,1,9.95,Chicken Biryani,2019-07-31 21:10:00
286,1,5.95,Bombay Aloo,2019-07-31 21:10:00
287,1,2.95,Peshwari Naan,2019-07-31 21:10:00
288,1,8.95,Dhansak - Lamb,2019-07-31 20:35:00
289,1,8.95,Korma - Chicken,2019-07-31 20:35:00
290,1,2.6,Plain Naan,2019-07-31 20:35:00
291,1,2.95,Pilau Rice,2019-07-31 20:35:00
292,2,2.95,Pilau Rice,2019-07-31 20:11:00
293,2,8.95,Chicken Tikka Masala,2019-07-31 20:11:00
294,1,7.95,Madras - Chicken Tikka,2019-07-31 20:11:00
295,2,3.95,Onion Bhajee,2019-07-31 20:11:00
296,1,8.95,Chicken Tikka Jalfrezi,2019-07-31 20:05:00
297,1,2.95,Pilau Rice,2019-07-31 20:05:00
298,1,2.6,Plain Naan,2019-07-31 20:05:00
299,1,2.95,Green Salad,2019-07-31 20:05:00
300,1,4.95,Sheek Kebab,2019-07-31 19:54:00
301,1,9.95,Vegetable Biryani,2019-07-31 19:54:00
302,1,4.95,Aloo Chaat,2019-07-31 19:54:00
303,1,11.95,Madras - King Prawn,2019-07-31 19:54:00
304,2,2.95,Pilau Rice,2019-07-31 19:54:00
305,1,9.95,Butter Chicken,2019-07-31 19:54:00
306,1,0.8,Plain Papadum,2019-07-31 19:54:00
307,1,8.95,Chicken Tikka Masala,2019-07-31 19:35:00
308,5,2.6,Plain Naan,2019-07-31 19:35:00
309,1,8.95,Rogon - Chicken,2019-07-31 19:35:00
310,1,8.95,Chicken Tikka (Main),2019-07-31 19:35:00
311,2,7.95,Madras - Chicken Tikka,2019-07-31 19:35:00
312,1,2.95,Garlic Naan,2019-07-31 19:35:00
313,1,5.95,Bombay Aloo,2019-07-31 19:35:00
314,1,5.95,Saag Aloo,2019-07-31 19:35:00
315,1,3.95,French Fries,2019-07-31 19:35:00
316,2,2.95,Pilau Rice,2019-07-31 19:35:00
317,3,3.95,Onion Bhajee,2019-07-31 19:35:00
318,4,0.8,Plain Papadum,2019-07-31 19:31:00
319,1,0.5,Mint Sauce,2019-07-31 19:31:00
320,1,9.95,Chicken Tikka Karahi,2019-07-31 19:31:00
321,1,5.95,Mushroom Bhajee,2019-07-31 19:31:00
322,2,2.95,Plain Rice,2019-07-31 19:31:00
323,1,3.95,Chicken Tikka,2019-07-31 19:17:00
324,1,5.95,Royal Paneer,2019-07-31 19:17:00
325,1,2.95,Garlic Naan,2019-07-31 19:17:00
326,1,2.95,Bottle Diet Coke,2019-07-31 19:17:00
327,1,8.95,Korma - Chicken,2019-07-31 19:05:00
328,1,2.95,Peshwari Naan,2019-07-31 19:05:00
329,1,3.95,Lemon Rice,2019-07-31 19:05:00
330,1,3.95,Mushroom Rice,2019-07-31 19:05:00
331,1,9.95,Lamb Sylhet,2019-07-31 19:05:00
332,2,0.8,Spicy Papadum,2019-07-31 19:02:00
333,1,0.5,Red Sauce,2019-07-31 19:02:00
334,1,2.95,Plain Rice,2019-07-31 19:02:00
335,1,8.95,Dupiaza - Chicken Tikka,2019-07-31 19:02:00
336,1,1.95,Chapati,2019-07-31 19:02:00
337,1,8.95,Saag - Chicken,2019-07-31 18:58:00
338,1,5.95,Saag Paneer,2019-07-31 18:58:00
339,1,3.95,Saag Rice,2019-07-31 18:58:00
340,1,4.95,Sheek Kebab,2019-07-31 18:50:00
341,3,0.8,Plain Papadum,2019-07-31 18:50:00
342,1,8.95,Lamb Tikka Masala,2019-07-31 18:50:00
343,1,2.95,Pilau Rice,2019-07-31 18:50:00
344,1,2.95,Keema Naan,2019-07-31 18:50:00
345,1,3.95,French Fries,2019-07-31 18:50:00
346,1,3.95,Keema Rice,2019-07-31 17:16:00
347,1,5.95,Bombay Aloo,2019-07-31 17:16:00
348,1,7.95,Madras - Lamb,2019-07-31 17:16:00
349,1,9.95,Lamb Biryani,2019-07-31 13:55:00
350,1,8.95,Lamb Tikka Chilli Masala,2019-07-31 13:55:00
351,1,2.95,Garlic Naan,2019-07-31 13:55:00
352,1,9.95,Paneer Tikka Sizzler,2019-07-30 21:05:00
353,1,3.95,Vindaloo Sauce,2019-07-30 21:05:00
354,1,2.95,Plain Rice,2019-07-30 21:05:00
355,1,3.95,French Fries,2019-07-30 21:05:00
356,1,9.95,Chicken Mysore,2019-07-30 20:10:00
357,3,2.95,Garlic Naan,2019-07-30 20:10:00
358,1,9.95,Lamb Chilli Garlic,2019-07-30 20:10:00
359,1,4.95,Aloo Chaat,2019-07-30 19:55:00
360,1,11.95,Tandoori Mixed Grill,2019-07-30 19:55:00
361,1,2.6,Tandoori Roti,2019-07-30 19:55:00
362,1,5.95,King Prawn Puree,2019-07-30 18:43:00
363,1,0.8,Plain Papadum,2019-07-30 18:43:00
364,1,9.95,Chicken Shashlick,2019-07-30 18:43:00
365,1,5.95,Bhindi Bhajee,2019-07-30 18:43:00
366,1,3.95,Dhansak Sauce,2019-07-30 18:43:00
367,2,3.95,Onion Bhajee,2019-07-30 18:43:00
368,1,5.95,Tarka Dall,2019-07-30 18:43:00
369,1,5.95,Saag Paneer,2019-07-30 18:43:00
370,1,5.95,Baingan Hari Mirch,2019-07-30 18:43:00
371,1,7.95,Madras - Chicken,2019-07-30 18:38:00
372,1,3.95,Lemon Rice,2019-07-30 18:38:00
373,1,0.8,Spicy Papadum,2019-07-30 18:38:00
374,1,3.95,French Fries,2019-07-30 18:38:00
375,1,0.5,Mint Sauce,2019-07-30 18:33:00
376,1,0.5,Lime Pickle,2019-07-30 18:33:00
377,2,0.5,Mango Chutney,2019-07-30 18:01:00
378,1,0.5,Red Sauce,2019-07-30 17:35:00
379,1,0.5,Onion Chutney,2019-07-30 17:00:00
380,1,0.5,Red Sauce,2019-07-30 17:00:00
381,1,0.5,Red Sauce,2019-07-29 22:21:00
382,1,0.5,Mango Chutney,2019-07-29 20:03:00
383,1,0.5,Mint Sauce,2019-07-29 17:20:00
384,1,0.5,Mango Chutney,2019-07-28 20:00:00
385,1,0.5,Mint Sauce,2019-07-28 20:00:00
386,1,0.5,Onion Chutney,2019-07-28 20:00:00
387,1,0.5,Onion Chutney,2019-07-28 19:29:00
388,1,0.5,Mango Chutney,2019-07-28 19:29:00
389,1,0.5,Mint Sauce,2019-07-28 19:29:00
390,1,0.5,Mango Chutney,2019-07-28 17:58:00
391,1,0.5,Mint Sauce,2019-07-28 17:58:00
392,1,0.5,Mango Chutney,2019-07-28 17:41:00
393,1,0.5,Mango Chutney,2019-07-28 17:10:00
394,1,0.5,Mango Chutney,2019-07-27 20:28:00
395,1,0.5,Mint Sauce,2019-07-27 20:28:00
396,2,0.5,Mango Chutney,2019-07-27 19:49:00
397,1,0.5,Lime Pickle,2019-07-27 19:49:00
398,1,0.5,Mango Chutney,2019-07-27 19:36:00
399,1,0.5,Mint Sauce,2019-07-27 19:35:00
400,1,0.5,Red Sauce,2019-07-27 19:35:00
401,1,0.5,Mint Sauce,2019-07-27 19:35:00
402,1,0.5,Mango Chutney,2019-07-27 19:35:00
403,2,0.5,Mint Sauce,2019-07-27 19:23:00
404,1,0.5,Mango Chutney,2019-07-27 18:56:00
405,1,0.5,Mint Sauce,2019-07-27 18:56:00
406,1,0.5,Mango Chutney,2019-07-27 18:18:00
407,1,0.5,Mango Chutney,2019-07-27 18:11:00
408,1,0.5,Mint Sauce,2019-07-27 18:01:00
409,1,0.5,Mango Chutney,2019-07-27 18:01:00
410,2,0.5,Onion Chutney,2019-07-27 16:55:00
411,2,0.5,Red Sauce,2019-07-27 16:55:00
